Transaction_ID,Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Order_Date,Order_Time,Sales_Channel,Store_ID,Store_Name,Country,Region,City,Product_ID,Product_Name,Product_Category,Product_Subcategory,Quantity,Unit_Price,Discount_Percentage,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Shipping_Method,Delivery_Days,Return_Flag,Return_Reason,Sales_Representative,Promotion_Code,Customer_Rating,Inventory_Level,Total Order Value,Inventory Status,Amount after discount,Order_Year,charged Amount %
T02012915,O0112915,C00818,Amelia Jackson,26,Female,Returning Customer,29-01-2025 00:00,0.527384259,Retail Store,MAN-01,Manchester North,United Kingdom,England,Manchester,P028,Backup Drive 2TB,Electronics,Storage,1,135.14,0,135.14,97.1,38.05,Apple Pay,Completed,Pickup,0,No,Not Returned,Daniel Miller,Not Avl,1,74,135.14,IN Stock,135.14,2025,100
T02006472,O0106472,C00178,Hannah Walker,35,Female,Consumer,03-09-2022 00:00,0.120034722,Online,TOR-01,Los Angeles Downtown,United States,West,Los Angeles,P017,Copy Paper Box,Office Supplies,Paper,1,46.17,0,46.17,37.13,9.05,Credit Card,Shipped,Pickup,0,No,Not Returned,Amelia Jackson,HOLIDAY20,4,91,46.17,IN Stock,46.17,2022,100
T02014413,O0114413,C02265,William Walker,25,Female,Consumer,28-12-2024 00:00,0.692002315,B2B Portal,MAN-01,Manchester North,United Kingdom,England,Manchester,P022,Air Purifier,Appliances,Home Office,2,330.05,20,528.08,482.08,46,Apple Pay,Completed,Standard,6,No,Not Returned,David Walker,BACK2WORK,1,47,660.1,IN Stock,422.464,2024,80
T02006097,O0106097,C04058,Isla Williams,25,Male,New Customer,29-04-2022 00:00,0.490949074,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P012,Ergo Footrest,Furniture,Office Furniture,1,83.09,0,83.09,52.79,30.3,PayPal,Completed,Next Day,1,No,Not Returned,Charlotte Thomas,BACK2WORK,3,72,83.09,IN Stock,83.09,2022,100
T02005015,O0102507,C03362,Liam Baker,33,Male,Small Business,02-10-2023 00:00,0.746446759,Online,PAR-01,Paris Central,France,Île-de-France,Paris,P018,Premium Pens,Office Supplies,Writing,1,23.14,0,23.14,12.93,10.21,Credit Card,Returned,Standard,3,Yes,Other,Olivia Martin,Not Avl,0,32,23.14,IN Stock,23.14,2023,100
T02009714,O0109714,C04340,Mia Anderson,52,Female,Consumer,13-11-2025 00:00,0.485775463,Phone Order,AUS-01,Austin Business,United States,South,Austin,P004,Vision 27 Monitor,Electronics,Monitors,1,317.25,5,301.39,232.76,68.63,Debit Card,Completed,Next Day,4,No,Not Returned,Ella Lewis,SAVE10,5,93,317.25,IN Stock,286.3205,2025,95
T02015976,O0107988,C05271,Aria Walker,45,Female,Consumer,01-08-2025 00:00,0.443842593,B2B Portal,LON-01,London City,United Kingdom,England,London,P006,Precision Mouse,Electronics,Accessories,6,37.16,10,200.67,143.97,56.7,PayPal,Completed,Pickup,0,No,Not Returned,Grace Harris,Not Avl,4,57,222.96,IN Stock,180.603,2025,90
T02005941,O0105941,C05397,James White,40,Male,Consumer,08-08-2025 00:00,0.596377315,Retail Store,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P026,Webcam HD,Electronics,Cameras,2,87.38,10,157.28,124.74,32.54,Credit Card,Completed,Pickup,0,No,Not Returned,Henry White,HOLIDAY20,2,86,174.76,IN Stock,141.552,2025,90
T02003081,O0103081,C05474,Emily Smith,22,Male,Consumer,31-12-2024 00:00,0.422314815,B2B Portal,CHI-01,Chicago Loop,United States,Midwest,Chicago,P006,Precision Mouse,Electronics,Accessories,8,36.59,10,263.43,177.35,86.08,Bank Transfer,Completed,Standard,6,No,Not Returned,Grace Harris,Not Avl,0,78,292.72,IN Stock,237.087,2024,90
T02000189,O0100189,C01386,Freya Green,37,Male,Small Business,31-01-2023 00:00,0.600729167,Phone Order,NYC-01,New York Central,United States,Northeast,New York,P025,USB Power Hub,Electronics,Accessories,3,48.24,0,144.72,94.73,49.99,Debit Card,Shipped,Pickup,0,No,Not Returned,David Walker,VALENTINE20,5,81,144.72,IN Stock,144.72,2023,100
T02012120,O0112120,C00728,Benjamin White,40,Male,Returning Customer,15-07-2023 00:00,0.519409722,Phone Order,LON-01,London City,United Kingdom,England,London,P005,Office Keyboard,Electronics,Accessories,3,55.45,15,141.39,106.07,35.31,Bank Transfer,Returned,Next Day,1,Yes,Defective,Charlotte Thomas,BLACKFRIDAY25,4,74,166.35,IN Stock,120.1815,2023,85
T02017206,O0117206,C00894,Lily Smith,48,Male,Consumer,01-12-2023 00:00,0.803796296,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P015,Printer Plus,Office Supplies,Printers,3,283.35,15,722.54,686.89,35.65,Debit Card,Shipped,Standard,4,No,Not Returned,Sophia Brown,Not Avl,2,105,850.05,IN Stock,614.159,2023,85
T02011968,O0111968,C00768,Emma Hall,21,Female,Corporate,21-01-2023 00:00,0.39712963,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P016,Laser Toner,Office Supplies,Consumables,1,114.87,5,109.13,86.14,22.98,Debit Card,Completed,Standard,2,No,Not Returned,Lucas Moore,BACK2WORK,3,29,114.87,IN Stock,103.6735,2023,95
T02006952,O0106952,C01378,Oscar Moore,39,Female,New Customer,27-07-2022 00:00,0.425856481,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P020,Presentation Kit,Office Supplies,Presentation,1,88.3,0,88.3,56.98,31.32,Credit Card,Completed,Pickup,0,No,Not Returned,Sophia Brown,SUMMER10,0,84,88.3,IN Stock,88.3,2022,100
T02006475,O0106475,C04638,James Baker,44,Male,Small Business,24-02-2025 00:00,0.502071759,B2B Portal,LON-01,London City,United Kingdom,England,London,P001,AeroBook 14 Laptop,Electronics,Laptops,1,852.47,5,809.85,696.6,113.24,Bank Transfer,Completed,Standard,6,No,Not Returned,Amelia Jackson,CORP5,5,95,852.47,IN Stock,769.3575,2025,95
T02000920,O0100920,C05598,Aria Clark,48,Male,Returning Customer,30-06-2022 00:00,0.840092593,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P022,Air Purifier,Appliances,Home Office,2,324.9,5,617.31,486.95,130.37,Credit Card,Completed,Express,3,No,Not Returned,Henry White,Not Avl,5,68,649.8,IN Stock,586.4445,2022,95
T02015100,O0115100,C01713,Leo Wright,30,Male,Consumer,06-05-2022 00:00,0.624537037,Retail Store,NYC-01,New York Central,United States,Northeast, New York ,P008,SmartDock USB-C,Electronics,Accessories,2,125,5,237.5,178.72,58.78,Credit Card,Cancelled,Pickup,0,No,Not Returned,Olivia Martin,BLACKFRIDAY25,4,51,250,IN Stock,225.625,2022,95
T02004289,O0104289,C04415,Freya Williams,49,Female,Consumer,21-09-2024 00:00,0.728136574,Phone Order,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P019,Notebook Pack,Office Supplies,Paper,2,30.1,0,60.2,38.8,21.4,Apple Pay,Completed,Standard,3,No,Not Returned,Noah Wilson,Not Avl,5,57,60.2,IN Stock,60.2,2024,100
T02003015,O0103015,C04960,Aria Jones,26,Female,Consumer,30-04-2024 00:00,0.569050926,Retail Store,VAN-01,Vancouver West,Canada,British Columbia,Vancouver,P023,Portable Heater,Appliances,Climate,1,99.03,5,94.08,71.05,23.02,Credit Card,Completed,Pickup,0,No,Not Returned,Sophia Brown,Not Avl,5,50,99.03,IN Stock,89.376,2024,95
T02004439,O0104439,C00643,David White,56,Male,Returning Customer,04-05-2025 00:00,0.627060185,Retail Store,PAR-01,Paris Central,France,Île-de-France,Paris,P014,Filing Cabinet,Furniture,Storage,1,250.61,0,250.61,180.3,70.31,Bank Transfer,Shipped,Pickup,0,No,Not Returned,Sophia Brown,Not Avl,4,59,250.61,IN Stock,250.61,2025,100
T02001159,O0101159,C01488,Grace Thompson,42,Male,Returning Customer,01-03-2024 00:00,0.73162037,Online,NYC-01,New York Central,United States,Northeast,New York,P028,Backup Drive 2TB,Electronics,Storage,1,144.74,0,144.74,98.18,46.56,Credit Card,Completed,Pickup,0,No,Not Returned,Emma Carter,Not Avl,5,59,144.74,IN Stock,144.74,2024,100
T02007178,O0107178,C04023,Leo Thompson,50,Female,Consumer,10-05-2022 00:00,0.461944444,Phone Order,NYC-01,New York Central,United States,Northeast,New York,P017,Copy Paper Box,Office Supplies,Paper,1,46.52,5,44.2,37.02,7.18,Apple Pay,Cancelled,Express,2,No,Not Returned,Sophia Brown,Not Avl,4,79,46.52,IN Stock,41.99,2022,95
T02013894,O0106947,C00043,Aria Thomas,37,Female,Returning Customer,13-12-2024 00:00,0.533726852,Retail Store,LON-01,London City,United Kingdom,England,London,P017,Copy Paper Box,Office Supplies,Paper,1,43.61,20,34.89,34.08,0.81,Apple Pay,Completed,Standard,5,No,Not Returned,Emma Carter,SPRING15,0,66,43.61,IN Stock,27.912,2024,80
T02012314,O0106157,C04099,Freya Allen,43,Female,Corporate,15-05-2022 00:00,0.474409722,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P019,Notebook Pack,Office Supplies,Paper,1,30.04,20,24.03,18.27,5.77,Credit Card,Completed,Standard,4,No,Not Returned,Mia Taylor,Not Avl,4,45,30.04,IN Stock,19.224,2022,80
T02007536,O0103768,C00339,Aria Moore,39,Female,Returning Customer,05-05-2023 00:00,0.564594907,Retail Store,COL-01,Cologne Business,Germany,North Rhine-Westphalia,Cologne,P023,Portable Heater,Appliances,Climate,2,98.99,5,188.08,139.92,48.16,PayPal,Completed,Pickup,0,No,Not Returned,Daniel Miller,SPRING15,4,117,197.98,IN Stock,178.676,2023,95
T02000449,O0100449,C00728,Benjamin White,40,Male,Small Business,06-11-2025 00:00,0.850231481,Online,LON-01,London City,United Kingdom,England,London,P023,Portable Heater,Appliances,Climate,2,93.17,20,149.08,128.64,20.43,Debit Card,Completed,Standard,7,No,Not Returned,Michael Clark,Not Avl,5,0,186.34,Out of Stock,119.264,2025,80
T02010717,O0110717,C00170,Ava Scott,36,Male,Consumer,08-08-2023 00:00,0.884305556,Online,LON-01,London City,United Kingdom,England,London,P006,Precision Mouse,Electronics,Accessories,4,37.13,5,141.1,90.27,50.83,Credit Card,Completed,Express,1,No,Not Returned,Daniel Miller,BLACKFRIDAY25,4,49,148.52,IN Stock,134.045,2023,95
T02004683,O0104683,C02465,Benjamin Moore,36,Female,Returning Customer,26-01-2025 00:00,0.688726852,Online,LON-01,London City,United Kingdom,England,London,P014,Filing Cabinet,Furniture,Storage,3,252.03,15,642.67,519.03,123.64,Debit Card,Completed,Pickup,0,No,Not Returned,Henry White,Not Avl,4,69,756.09,IN Stock,546.2695,2025,85
T02003972,O0103972,C04983,Ella Jones,38,Female,Consumer,21-09-2023 00:00,0.397361111,Online,NYC-01,New York Central,United States,Northeast,New York,P009,Office Chair Pro,Furniture,Office Furniture,1,429.24,5,407.78,319.4,88.37,Credit Card,Completed,Express,1,No,Not Returned,Grace Harris,VALENTINE20,4,111,429.24,IN Stock,387.391,2023,95
T02013835,O0106917,C00063,Max Williams,51,Male,Small Business,05-10-2025 00:00,0.651238426,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P012,Ergo Footrest,Furniture,Office Furniture,1,80.54,0,80.54,53.81,26.73,PayPal,Shipped,Standard,5,No,Not Returned,Amelia Jackson,BLACKFRIDAY25,4,83,80.54,IN Stock,80.54,2025,100
T02010293,O0105146,C04409,Maya Brown,45,Male,Returning Customer,01-12-2023 00:00,0.598229167,Retail Store,LON-01,London City,United Kingdom,England,London,P007,NoiseCancel Headset,Electronics,Audio,3,158.58,15,404.38,330,74.38,Credit Card,Returned,Pickup,0,Yes,Late Delivery,Grace Harris,SAVE10,4,0,475.74,Out of Stock,343.723,2023,85
T02006676,O0106676,C01213,Emma Miller,41,Female,Consumer,05-09-2025 00:00,0.793796296,Online,NYC-01,New York Central,United States,Northeast,New York,P021,Coffee Machine,Appliances,Kitchen,1,231.5,5,219.93,180.8,39.13,Credit Card,Shipped,Standard,5,No,Not Returned,Michael Clark,Not Avl,0,61,231.5,IN Stock,208.9335,2025,95
T02008468,O0108468,C03643,Theo Clark,19,Male,Consumer,16-07-2022 00:00,0.999780093,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P002,ProBook 16 Laptop,Electronics,Laptops,1,1237.84,0,1237.84,966.05,271.79,Credit Card,Shipped,Standard,5,No,Not Returned,Sophia Brown,Not Avl,0,93,1237.84,IN Stock,1237.84,2022,100
T02005871,O0105871,C01476,Amelia Harris,51,Male,Premium,19-01-2024 00:00,0.599594907,Phone Order,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P012,Ergo Footrest,Furniture,Office Furniture,2,77.65,0,155.3,99.12,56.18,Debit Card,Shipped,Standard,5,No,Not Returned,James Anderson,HALLOWEEN15,4,91,155.3,IN Stock,155.3,2024,100
T02007606,O0107606,C00266,Nora Miller,44,Male,Consumer,02-06-2025 00:00,0.40244213,Phone Order,PAR-01,Paris Central,France,Île-de-France,Paris,P001,AeroBook 14 Laptop,Electronics,Laptops,1,921.42,0,921.42,704.28,217.14,Credit Card,Completed,Pickup,0,No,Not Returned,Olivia Martin,Not Avl,4,10,921.42,IN Stock,921.42,2025,100
T02002280,O0102280,C00986,Max Smith,38,Male,New Customer,06-04-2022 00:00,0.399259259,Phone Order,LON-01,London City,United Kingdom,England,London,P016,Laser Toner,Office Supplies,Consumables,2,112.33,0,224.66,178.8,45.86,Debit Card,Completed,Pickup,0,No,Not Returned,Ella Lewis,HALLOWEEN15,5,69,224.66,IN Stock,224.66,2022,100
T02015785,O0115785,C02578,Mia Anderson,43,Female,Consumer,22-03-2025 00:00,0.741863426,Retail Store,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P018,Premium Pens,Office Supplies,Writing,2,23.4,0,46.79,27.4,19.39,Cash,Returned,Pickup,0,Yes,Defective,David Walker,Not Avl,3,57,46.8,IN Stock,46.79,2025,100
T02017174,O0108587,C02520,Theo Moore,43,Male,Returning Customer,18-10-2024 00:00,0.860520833,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P001,AeroBook 14 Laptop,Electronics,Laptops,1,913.13,0,913.13,721.62,191.51,Debit Card,Cancelled,Express,2,No,Not Returned,Lucas Moore,Not Avl,1,68,913.13,IN Stock,913.13,2024,100
T02016523,O0108261,C01161,Daniel Lewis,33,Male,Consumer,19-08-2024 00:00,0.338738426,B2B Portal,TOR-01,Toronto Central,Canada,Ontario,Toronto,P012,Ergo Footrest,Furniture,Office Furniture,5,81.17,0,405.84,257.16,148.68,Debit Card,Completed,Pickup,0,No,Not Returned,Noah Wilson,VALENTINE20,5,65,405.85,IN Stock,405.84,2024,100
T02014497,O0107248,C00202,Samuel Hall,18,Other,Consumer,21-11-2022 00:00,0.711666667,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P004,Vision 27 Monitor,Electronics,Monitors,1,334.75,10,301.27,258.8,42.47,Debit Card,Completed,Express,2,No,Not Returned,Michael Clark,Not Avl,5,69,334.75,IN Stock,271.143,2022,90
T02013242,O0106621,C03783,Sophia Thompson,39,Male,Small Business,09-01-2025 00:00,0.474814815,Phone Order,PAR-01,Paris Central,France,Île-de-France,Paris,P004,Vision 27 Monitor,Electronics,Monitors,2,331.61,5,630.07,496.82,133.24,Debit Card,Completed,Standard,4,No,Not Returned,James Anderson,Not Avl,3,92,663.22,IN Stock,598.5665,2025,95
T02009652,O0104826,C03900,Evelyn Williams,36,Male,Returning Customer,07-10-2022 00:00,0.963564815,Online,MUC-01,Munich Zentrum,Germany,Bavaria,Munich,P011,Meeting Table,Furniture,Office Furniture,1,866.18,0,866.18,700.83,165.35,Apple Pay,Completed,Pickup,0,No,Not Returned,David Walker,Not Avl,4,55,866.18,IN Stock,866.18,2022,100
T02003030,O0103030,C00852,Sophia Jackson,33,Female,Consumer,07-03-2023 00:00,0.55005787,Retail Store,PAR-01,Paris Central,France,Île-de-France,Paris,P024,Desk Fan,Appliances,Climate,2,67.63,5,128.49,90.55,37.95,Debit Card,SHIPPED,Pickup,0,No,Not Returned,Grace Harris,HOLIDAY20,4,54,135.26,IN Stock,122.0655,2023,95
T02008833,O0108833,C05532,Lucas Moore,34,Female,Consumer,19-02-2025 00:00,0.784456019,Phone Order,CHI-01,Chicago Loop,United States,Midwest,Chicago,P011,Meeting Table,Furniture,Office Furniture,1,882.16,15,749.83,706.44,43.4,Cash,Completed,Next Day,1,No,Not Returned,Grace Harris,Not Avl,4,76,882.16,IN Stock,637.3555,2025,85
T02012973,O0112973,C01423,Ella Anderson,44,Female,Consumer,12-09-2025 00:00,0.380960648,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P018,Premium Pens,Office Supplies,Writing,2,22.8,0,45.6,26.09,19.51,Debit Card,Shipped,Express,1,No,Not Returned,Liam Davis,Not Avl,0,66,45.6,IN Stock,45.6,2025,100
T02004082,O0104082,C04487,Emily Brown,28,Male,Consumer,08-12-2023 00:00,0.599618056,Retail Store,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P016,Laser Toner,Office Supplies,Consumables,3,117.73,20,282.56,270.26,12.3,Credit Card,Shipped,Pickup,0,No,Not Returned,Sophia Brown,Not Avl,4,53,353.19,IN Stock,226.048,2023,80
T02011731,O0105865,C00481,Liam Lewis,36,Male,Consumer,16-10-2025 00:00,0.446145833,B2B Portal,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P008,SmartDock USB-C,Electronics,Accessories,1,114.44,5,108.72,79.03,29.69,PayPal,Completed,Express,1,No,Not Returned,James Anderson,Not Avl,4,96,114.44,IN Stock,103.284,2025,95
T02015632,O0115632,C05305,Ella Davis,40,Female,Small Business,17-08-2025 00:00,0.322372685,Online,COL-01,Cologne Business,Germany,North Rhine-Westphalia,Cologne,P014,Filing Cabinet,Furniture,Storage,3,251.81,0,755.42,511.64,243.78,Credit Card,Shipped,Express,1,No,Not Returned,Sophia Brown,Not Avl,4,84,755.43,IN Stock,755.42,2025,100
T02002793,O0102793,C02805,Thomas Baker,45,Female,New Customer,15-04-2022 00:00,0.583564815,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P015,Printer Plus,Office Supplies,Printers,5,261.08,0,1305.38,1057.43,247.95,Credit Card,Completed,Pickup,0,No,Not Returned,Ella Lewis,Not Avl,1,58,1305.4,IN Stock,1305.38,2022,100
T02004629,O0104629,C02943,Jack Williams,24,Female,New Customer,19-01-2022 00:00,0.333935185,Phone Order,VAN-01,Vancouver West,Canada,British Columbia,Vancouver,P020,Presentation Kit,Office Supplies,Presentation,1,94.9,0,94.9,62.49,32.4,PayPal,Completed,Next Day,1,No,Not Returned,Henry White,Not Avl,4,84,94.9,IN Stock,94.9,2022,100
T02007495,O0107495,C00730,Emily Harris,28,Female,Small Business,06-05-2023 00:00,0.844594907,Online,AUS-01,Austin Business,United States,South,Austin,P028,Backup Drive 2TB,Electronics,Storage,1,144.01,5,136.81,103.63,33.18,Credit Card,Completed,Standard,4,No,Not Returned,James Anderson,Not Avl,4,66,144.01,IN Stock,129.9695,2023,95
